Country,Agriculture,Industry,Services,Add Date
Afghanistan,0.38,0.24,0.38,2020-05-02 00:00:00
Albania,0.232,0.188,0.579,2020-05-02 00:00:00
Algeria,0.101,0.6,0.298,2020-05-02 00:00:00
American Samoa,,,,2020-05-02 00:00:00
Andorra,,,,2020-05-02 00:00:00
Angola,0.096,0.658,0.246,2020-05-02 00:00:00
Anguilla,0.04,0.18,0.78,2020-05-02 00:00:00
Antigua and Barbuda,0.038,0.22,0.743,2020-05-02 00:00:00
Argentina,0.095,0.358,0.547,2020-05-02 00:00:00
Armenia,0.239,0.343,0.418,2020-05-02 00:00:00
Aruba,0.004,0.333,0.663,2020-05-02 00:00:00
Australia,0.038,0.262,0.7,2020-05-02 00:00:00
Austria,0.018,0.304,0.678,2020-05-02 00:00:00
Azerbaijan,0.141,0.457,0.402,2020-05-02 00:00:00
"Bahamas, The",0.03,0.07,0.9,2020-05-02 00:00:00
Bahrain,0.005,0.387,0.608,2020-05-02 00:00:00
Bangladesh,0.199,0.198,0.603,2020-05-02 00:00:00
Barbados,0.06,0.16,0.78,2020-05-02 00:00:00
Belarus,0.093,0.316,0.591,2020-05-02 00:00:00
Belgium,0.01,0.24,0.749,2020-05-02 00:00:00
Belize,0.142,0.152,0.612,2020-05-02 00:00:00
Benin,0.316,0.138,0.546,2020-05-02 00:00:00
Bermuda,0.01,0.1,0.89,2020-05-02 00:00:00
Bhutan,0.258,0.379,0.363,2020-05-02 00:00:00
Bolivia,0.128,0.352,0.52,2020-05-02 00:00:00
Bosnia and Herzegovina,0.142,0.308,0.55,2020-05-02 00:00:00
Botswana,0.024,0.469,0.507,2020-05-02 00:00:00
Brazil,0.084,0.4,0.516,2020-05-02 00:00:00
British Virgin Is.,0.018,0.062,0.92,2020-05-02 00:00:00
Brunei,0.036,0.561,0.403,2020-05-02 00:00:00
Bulgaria,0.093,0.304,0.603,2020-05-02 00:00:00
Burkina Faso,0.322,0.196,0.482,2020-05-02 00:00:00
Burma,0.564,0.082,0.353,2020-05-02 00:00:00
Burundi,0.463,0.203,0.334,2020-05-02 00:00:00
Cambodia,0.35,0.3,0.35,2020-05-02 00:00:00
Cameroon,0.448,0.17,0.382,2020-05-02 00:00:00
Canada,0.022,0.294,0.684,2020-05-02 00:00:00
Cape Verde,0.121,0.219,0.66,2020-05-02 00:00:00
Cayman Islands,0.014,0.032,0.954,2020-05-02 00:00:00
