Country,Net Migration
Afghanistan,23.06
Albania,-4.93
Algeria,-.39
American Samoa,-20.71
Andorra,6.6
Angola,0
Anguilla,10.76
Antigua and Barbuda,-6.15
Argentina,.61
Armenia,-6.47
Aruba,0
Australia,3.98
Austria,2
Azerbaijan,-4.9
"Bahamas, The",-2.2
Bahrain,1.05
Bangladesh,-.71
Barbados,-.31
Belarus,2.54
Belgium,1.23
Belize,0
Benin,0
Bermuda,2.49
Bhutan,0
Bolivia,-1.32
Bosnia and Herzegovina,.31
Botswana,0
Brazil,-.03
British Virgin Is.,10.01
Brunei,3.59
Bulgaria,-4.58
Burkina Faso,0
Burma,-1.8
Burundi,-.06
Cambodia,0
Cameroon,0
Canada,5.96
Cape Verde,-12.07
Cayman Islands,18.75
Central African Rep.,0
Chad,-.11
Chile,0
China,-.4
Colombia,-.31
Comoros,0
"Congo, Dem. Rep.",0
"Congo, Repub. of the",-.17
Cook Islands,
Costa Rica,.51
Cote d'Ivoire,-.07
Croatia,1.58
Cuba,-1.58
Cyprus,.43
Czech Republic,.97
Denmark,2.48
Djibouti,0
Dominica,-13.87
Dominican Republic,-3.22
East Timor,0
Ecuador,-8.58
Egypt,-.22
El Salvador,-3.74
Equatorial Guinea,0
Eritrea,0
Estonia,-3.16
Ethiopia,0
Faroe Islands,1.41
Fiji,-3.14
Finland,.95
France,.66
French Guiana,6.27
French Polynesia,2.94
Gabon,0
"Gambia, The",1.57
Gaza Strip,1.6
Georgia,-4.7
Germany,2.18
Ghana,-.64
Gibraltar,0
Greece,2.35
Greenland,-8.37
Grenada,-13.92
Guadeloupe,-.15
Guam,0
Guatemala,-1.67
Guernsey,3.84
Guinea,-3.06
Guinea-Bissau,-1.57
Guyana,-2.07
Haiti,-3.4
Honduras,-1.99
Hong Kong,5.24
Hungary,.86
Iceland,2.38
India,-.07
Indonesia,0
Iran,-.84
Iraq,0
Ireland,4.99
Isle of Man,5.36
Israel,.68
Italy,2.07
Jamaica,-4.92
Japan,0
Jersey,2.76
Jordan,6.59
Kazakhstan,-3.35
Kenya,-.1
Kiribati,0
"Korea, North",0
"Korea, South",0
Kuwait,14.18
Kyrgyzstan,-2.45
Laos,0
Latvia,-2.23
Lebanon,0
Lesotho,-.74
Liberia,0
Libya,0
Liechtenstein,4.85
Lithuania,-.71
Luxembourg,8.97
Macau,4.86
Macedonia,-1.45
Madagascar,0
Malawi,0
Malaysia,0
Maldives,0
Mali,-.33
Malta,2.07
Marshall Islands,-6.04
Martinique,-.05
Mauritania,0
Mauritius,-.9
Mayotte,6.78
Mexico,-4.87
"Micronesia, Fed. St.",-20.99
Moldova,-.26
Monaco,7.75
Mongolia,0
Montserrat,0
Morocco,-.98
Mozambique,0
Namibia,0
Nauru,0
Nepal,0
Netherlands,2.91
Netherlands Antilles,-.41
New Caledonia,0
New Zealand,4.05
Nicaragua,-1.22
Niger,-.67
Nigeria,.26
N. Mariana Islands,9.61
Norway,1.74
Oman,.28
Pakistan,-2.77
Palau,2.85
Panama,-.91
Papua New Guinea,0
Paraguay,-.08
Peru,-1.05
Philippines,-1.5
Poland,-.49
Portugal,3.57
Puerto Rico,-1.46
Qatar,16.29
Reunion,0
Romania,-.13
Russia,1.02
Rwanda,0
Saint Helena,0
Saint Kitts and Nevis,-7.11
Saint Lucia,-2.67
St Pierre and Miquelon,-4.86
Saint Vincent and the Grenadines,-7.64
Samoa,-11.7
San Marino,10.98
Sao Tome and Principe,-2.72
Saudi Arabia,-2.71
Senegal,.2
Serbia,-1.33
Seychelles,-5.69
Sierra Leone,0
Singapore,11.53
Slovakia,.3
Slovenia,1.12
Solomon Islands,0
Somalia,5.37
South Africa,-.29
Spain,.99
Sri Lanka,-1.31
Sudan,-.02
Suriname,-8.81
Swaziland,0
Sweden,1.67
Switzerland,4.05
Syria,0
Taiwan,0
Tajikistan,-2.86
Tanzania,-2.06
Thailand,0
Togo,0
Tonga,0
Trinidad and Tobago,-10.83
Tunisia,-.57
Turkey,0
Turkmenistan,-.86
Turks and Caicos Is,11.68
Tuvalu,0
Uganda,0
Ukraine,-.39
United Arab Emirates,1.03
United Kingdom,2.19
United States,3.41
Uruguay,-.32
Uzbekistan,-1.72
Vanuatu,0
Venezuela,-.04
Vietnam,-.45
Virgin Islands,-8.94
Wallis and Futuna,
West Bank,2.98
Western Sahara,
Yemen,0
Zambia,0
Zimbabwe,0
