Country,Population,Area,Add Date
Afghanistan,31056997,647500,2020-05-02 00:00:00
Albania,3581655,28748,2020-05-02 00:00:00
Algeria,32930091,2381740,2020-05-02 00:00:00
American Samoa,57794,199,2020-05-02 00:00:00
Andorra,71201,468,2020-05-02 00:00:00
Angola,12127071,1246700,2020-05-02 00:00:00
Anguilla,13477,102,2020-05-02 00:00:00
Antigua and Barbuda,69108,443,2020-05-02 00:00:00
Argentina,39921833,2766890,2020-05-02 00:00:00
Armenia,2976372,29800,2020-05-02 00:00:00
Aruba,71891,193,2020-05-02 00:00:00
Australia,20264082,7686850,2020-05-02 00:00:00
Austria,8192880,83870,2020-05-02 00:00:00
Azerbaijan,7961619,86600,2020-05-02 00:00:00
"Bahamas, The",303770,13940,2020-05-02 00:00:00
Bahrain,698585,665,2020-05-02 00:00:00
Bangladesh,147365352,144000,2020-05-02 00:00:00
Barbados,279912,431,2020-05-02 00:00:00
Belarus,10293011,207600,2020-05-02 00:00:00
Belgium,10379067,30528,2020-05-02 00:00:00
Belize,287730,22966,2020-05-02 00:00:00
Benin,7862944,112620,2020-05-02 00:00:00
Bermuda,65773,53,2020-05-02 00:00:00
Bhutan,2279723,47000,2020-05-02 00:00:00
Bolivia,8989046,1098580,2020-05-02 00:00:00
Bosnia and Herzegovina,4498976,51129,2020-05-02 00:00:00
Botswana,1639833,600370,2020-05-02 00:00:00
Brazil,188078227,8511965,2020-05-02 00:00:00
British Virgin Is.,23098,153,2020-05-02 00:00:00
Brunei,379444,5770,2020-05-02 00:00:00
Bulgaria,7385367,110910,2020-05-02 00:00:00
Burkina Faso,13902972,274200,2020-05-02 00:00:00
Burma,47382633,678500,2020-05-02 00:00:00
Burundi,8090068,27830,2020-05-02 00:00:00
Cambodia,13881427,181040,2020-05-02 00:00:00
Cameroon,17340702,475440,2020-05-02 00:00:00
Canada,33098932,9984670,2020-05-02 00:00:00
Cape Verde,420979,4033,2020-05-02 00:00:00
Cayman Islands,45436,262,2020-05-02 00:00:00
Central African Rep.,4303356,622984,2020-05-02 00:00:00
Chad,9944201,1284000,2020-05-02 00:00:00
Chile,16134219,756950,2020-05-02 00:00:00
China,1313973713,9596960,2020-05-02 00:00:00
Colombia,43593035,1138910,2020-05-02 00:00:00
Comoros,690948,2170,2020-05-02 00:00:00
"Congo, Dem. Rep.",62660551,2345410,2020-05-02 00:00:00
"Congo, Repub. of the",3702314,342000,2020-05-02 00:00:00
Cook Islands,21388,240,2020-05-02 00:00:00
Costa Rica,4075261,51100,2020-05-02 00:00:00
Cote d'Ivoire,17654843,322460,2020-05-02 00:00:00
Croatia,4494749,56542,2020-05-02 00:00:00
Cuba,11382820,110860,2020-05-02 00:00:00
Cyprus,784301,9250,2020-05-02 00:00:00
Czech Republic,10235455,78866,2020-05-02 00:00:00
Denmark,5450661,43094,2020-05-02 00:00:00
Djibouti,486530,23000,2020-05-02 00:00:00
Dominica,68910,754,2020-05-02 00:00:00
Dominican Republic,9183984,48730,2020-05-02 00:00:00
East Timor,1062777,15007,2020-05-02 00:00:00
Ecuador,13547510,283560,2020-05-02 00:00:00
Egypt,78887007,1001450,2020-05-02 00:00:00
El Salvador,6822378,21040,2020-05-02 00:00:00
Equatorial Guinea,540109,28051,2020-05-02 00:00:00
Eritrea,4786994,121320,2020-05-02 00:00:00
Estonia,1324333,45226,2020-05-02 00:00:00
Ethiopia,74777981,1127127,2020-05-02 00:00:00
Faroe Islands,47246,1399,2020-05-02 00:00:00
Fiji,905949,18270,2020-05-02 00:00:00
Finland,5231372,338145,2020-05-02 00:00:00
France,60876136,547030,2020-05-02 00:00:00
French Guiana,199509,91000,2020-05-02 00:00:00
French Polynesia,274578,4167,2020-05-02 00:00:00
Gabon,1424906,267667,2020-05-02 00:00:00
"Gambia, The",1641564,11300,2020-05-02 00:00:00
Gaza Strip,1428757,360,2020-05-02 00:00:00
Georgia,4661473,69700,2020-05-02 00:00:00
Germany,82422299,357021,2020-05-02 00:00:00
Ghana,22409572,239460,2020-05-02 00:00:00
Gibraltar,27928,7,2020-05-02 00:00:00
Greece,10688058,131940,2020-05-02 00:00:00
Greenland,56361,2166086,2020-05-02 00:00:00
Grenada,89703,344,2020-05-02 00:00:00
Guadeloupe,452776,1780,2020-05-02 00:00:00
Guam,171019,541,2020-05-02 00:00:00
Guatemala,12293545,108890,2020-05-02 00:00:00
Guernsey,65409,78,2020-05-02 00:00:00
Guinea,9690222,245857,2020-05-02 00:00:00
Guinea-Bissau,1442029,36120,2020-05-02 00:00:00
Guyana,767245,214970,2020-05-02 00:00:00
Haiti,8308504,27750,2020-05-02 00:00:00
Honduras,7326496,112090,2020-05-02 00:00:00
Hong Kong,6940432,1092,2020-05-02 00:00:00
Hungary,9981334,93030,2020-05-02 00:00:00
Iceland,299388,103000,2020-05-02 00:00:00
India,1095351995,3287590,2020-05-02 00:00:00
Indonesia,245452739,1919440,2020-05-02 00:00:00
Iran,68688433,1648000,2020-05-02 00:00:00
Iraq,26783383,437072,2020-05-02 00:00:00
Ireland,4062235,70280,2020-05-02 00:00:00
Isle of Man,75441,572,2020-05-02 00:00:00
Israel,6352117,20770,2020-05-02 00:00:00
Italy,58133509,301230,2020-05-02 00:00:00
Jamaica,2758124,10991,2020-05-02 00:00:00
Japan,127463611,377835,2020-05-02 00:00:00
Jersey,91084,116,2020-05-02 00:00:00
Jordan,5906760,92300,2020-05-02 00:00:00
Kazakhstan,15233244,2717300,2020-05-02 00:00:00
Kenya,34707817,582650,2020-05-02 00:00:00
Kiribati,105432,811,2020-05-02 00:00:00
"Korea, North",23113019,120540,2020-05-02 00:00:00
"Korea, South",48846823,98480,2020-05-02 00:00:00
Kuwait,2418393,17820,2020-05-02 00:00:00
Kyrgyzstan,5213898,198500,2020-05-02 00:00:00
Laos,6368481,236800,2020-05-02 00:00:00
Latvia,2274735,64589,2020-05-02 00:00:00
Lebanon,3874050,10400,2020-05-02 00:00:00
Lesotho,2022331,30355,2020-05-02 00:00:00
Liberia,3042004,111370,2020-05-02 00:00:00
Libya,5900754,1759540,2020-05-02 00:00:00
Liechtenstein,33987,160,2020-05-02 00:00:00
Lithuania,3585906,65200,2020-05-02 00:00:00
Luxembourg,474413,2586,2020-05-02 00:00:00
Macau,453125,28,2020-05-02 00:00:00
Macedonia,2050554,25333,2020-05-02 00:00:00
Madagascar,18595469,587040,2020-05-02 00:00:00
Malawi,13013926,118480,2020-05-02 00:00:00
Malaysia,24385858,329750,2020-05-02 00:00:00
Maldives,359008,300,2020-05-02 00:00:00
Mali,11716829,1240000,2020-05-02 00:00:00
Malta,400214,316,2020-05-02 00:00:00
Marshall Islands,60422,11854,2020-05-02 00:00:00
Martinique,436131,1100,2020-05-02 00:00:00
Mauritania,3177388,1030700,2020-05-02 00:00:00
Mauritius,1240827,2040,2020-05-02 00:00:00
Mayotte,201234,374,2020-05-02 00:00:00
Mexico,107449525,1972550,2020-05-02 00:00:00
"Micronesia, Fed. St.",108004,702,2020-05-02 00:00:00
Moldova,4466706,33843,2020-05-02 00:00:00
Monaco,32543,2,2020-05-02 00:00:00
Mongolia,2832224,1564116,2020-05-02 00:00:00
Montserrat,9439,102,2020-05-02 00:00:00
Morocco,33241259,446550,2020-05-02 00:00:00
Mozambique,19686505,801590,2020-05-02 00:00:00
Namibia,2044147,825418,2020-05-02 00:00:00
Nauru,13287,21,2020-05-02 00:00:00
